lat,lon,pc_code,pc_location,pc_name
37.19689203,68.91420156,1905092,"Aqbaay","Imam Sahib Number 2 High School"
37.09148556,69.22347985,1906188,"Shah Rawan Village","Shah Rawan School"
36.98160672,68.54270622,1907108,"Aaq Tapa","Aaq Tapa High School"
35.93115567,68.01100758,2003077,"Khuram Village","Andar Sher Khuram High School"
35.49679375,67.62122106,2005071,"Pechgah Village","Pechgah Madrassa"
36.11215037,67.29845327,2006059,"Toqsan Village","Toqsan Secondary School"
35.43251616,67.14064096,2007046,"Kota Village","Menbar Kota"
36.7062249,67.09026701,2101015,"D04 - Nahia 4","Qazi Hamiduddin School"
36.73129373,67.10860972,2101035,"D08 - Nahia 8 Kart-E-Naw","Hidayatullah Naqshbandi School"
36.47441802,67.11611375,2104277,"Shor Balaq Village","Shor Balaq School"
36.74375309,66.91766455,2106154,"Haji Kot Village","Haji Kot School"
36.77838924,66.84947026,2106320,"Kata Khel","Kata Khel School"
36.99160967,66.81046621,2109121,"Dawlat Abad Center","Abu Nasr Farabi High School"
36.92662271,66.83122948,2109143,"Baghshor Village","Baghshor Mosque"
36.7084691,67.7880537,2110093,"Haji Ali Village","Haji Ali Clinic"
36.7297278,66.78652814,2111194,"Yalman Village","Yalman School"
37.31211864,66.62026665,2112113,"Dali Village","Dali School"
35.77086736,66.88800391,2114294,"Yarghan Village","Yarghan School"
36.03721605,66.7878697,2115316,"Qashlaq Kalan Baloch","Baloch Mosque"
36.06410842,65.83297145,2202050,"Quflatoon Village","Quflatoon Village Mosque"
