lat,lon,pc_code,pc_location,pc_name,ps_male,ps_female,ps_total
31.11334376000011,61.81553352000001,3402011,ماککی,مکتب ماککی,2,1,3
31.185009580000006,62.049252910000035,3403035,دشت,دشت معصوم خان,1,1,2
31.168083550000055,62.02335861000004,3403036,سرگز,مکتب سرگز,2,1,3
31.661807470000046,62.93662182000005,3405043,پشت حسن,مسجد قریه,1,1,2
32.158162950000104,63.4258843200001,3406054,شیله گی,شیله گی,2,1,3
32.17041944000006,63.49609533000006,3406055,کچ ستار,کچ ستار,1,1,2
33.461318140000074,68.53625666000002,1105059,لغاوت,مکتب لغاوت,3,1,4
33.06990193000011,69.0308124000001,1205080,پړاو,پړاو جومات,0,2,2
32.581154160000104,68.51570725000003,1209114,شادی خیل,سدی خیل د کلی جومات,0,3,3
33.704058090000075,69.41749588000003,1306024,خنډخیل,د خند خیلو مکتب,0,3,3
34.51014871000012,69.18442421,0101002,شور بازار,مسجد ملا محمود,3,3,6
34.503076160000084,69.13634850000004,0101119,مرکز ناحيه ششم,مرکز ناحيه ششم,3,2,5
34.513795850000044,69.20136176000004,0101156,سرک اول شاه شهيد,ليسه استاد بيتاب,3,3,6
34.50582706000004,69.2147490300001,0101175,سرک نوشصت متره، رحمان مینه,مسجد عثمان غنی,3,1,4
34.497374010000115,69.09380967000007,0101261,قریه ده قابل,مسجد سجادي,3,2,5
34.57230417000002,69.16008970000007,0101297,خواجه بغرا,مسجد خدر,3,3,6
34.54390576,69.36598705000004,0101331,ناحیه ۲۱، پروژه,مسجد حاجی ستار خان شامحمد خیل,4,4,8
34.3861970000001,69.38449497,0109447,خورد کابل,مسجد جامع خورد کابل,2,1,3
34.43916542000007,69.76419382000006,0115478,جگدلک,مکتب جگدلک,2,1,3
35.03203636000008,69.20299542000006,0301029,ده ملا یوسف,مسجد جامع ده ملا یوسف,1,1,2
35.08351695000005,69.25291624000006,0304039,بازار سیدخیل,دارالحفاظ سید خیل,2,1,3
34.31130638999999,68.15912160000003,0407025,قلعه سید تیمور,مکتب قلعه سید تیمور,2,1,3
34.397564700000025,70.43396128000009,0602069,فارم هډه,وزیر محمد ګل خان لیسه,4,2,6
34.288892120000035,70.39291976000003,0604116,کنډی باغ باډول کلی,عامه دیره (باغچه),2,1,3
34.41472382000012,70.58077402,0605150,قلعه اخند,وکيل باغ,0,2,2
34.605291420000036,70.61419035000003,0606186,لوي کلي,لوي کلي جومات,3,0,3
34.576152450000095,70.57134740000002,0606209,کوهنه ده,جامع جومات,1,1,2
34.23866940000008,70.51245226000002,0607145,کډي,کډي جومات,2,0,2
34.286353200000015,70.10030323000005,0608295,ميمله,غلام حیدر خان عالی لیسه,4,2,6
34.268182530000004,70.96236587,0618504,ګلداګ کلي,ګل ډاګ لیسه,3,2,5
34.0752780300001,70.96479851000004,0622412,سره ګټه,سره ګټه منځنی ښوونځی,3,1,4
34.99639712000008,69.89378153000007,0705112,ګمنډوک,د ګمنډوک جومات,2,2,4
35.29328435000012,69.49858248000001,0801006,خانیز,مسجد خانیز,3,1,4
35.32064689000008,69.63964523000007,0803062,پوجاوه,مسجد کهنه ده پوجاوه,2,1,3
35.687953770000085,70.08305324000004,0807076,کل کوا,مسجد کل کوا,1,1,2
36.043347400000094,68.65928913000002,0901040,قریه اکه خیل,در بین باغ مسجد اکه خیل,2,1,3
35.90047338000003,68.46644947000003,0902087,تاجک ها دهنه بالا,مکتب تاجک ها دهنه بالا,2,1,3
36.13276995000004,68.73850708000002,0905054,سرک یازده,سرک 11مکتب متوسطه میا گل شهید,2,2,4
35.62697115000003,69.13946560000005,0907125,قریه کفتر خانه,لیسه کفتر خانه,2,1,3
35.926606050000025,69.25171690000009,0909199,یرم سفلی,مدرسه یرم سفلی,2,2,4
34.85498153000005,67.53253152000008,1001017,جیم قلعه پیتو,منبر جیم قلعه,2,2,4
35.383498810000084,67.89193464000006,1004062,چوکری دره,مسجد چوکری دره,1,1,2
34.47842821000009,67.21463234000002,1006102,کف قول,مسجد کف قول,2,1,3
34.29976260000012,66.77106596000007,1007124,قلعه سوخته,مسجد قلعه سوخته,2,1,3
34.067070430000186,67.18121245000005,1007146,دیوان,مسجد دیوان,1,1,2
33.54419742000003,68.36204028000004,1101054,قلعه کوچی,قلعه کوپی مسجد حاجی الخ,1,2,3
33.52149945400008,68.01160705000007,1106107,قریه قباق جای,مکتب کهنه قول اصیل,1,3,4
33.67602767000006,68.15017367000004,1109093,قریه لاغری,مسجد قریه لاغری,2,1,3
32.8789010800001,67.46948090000008,1117395,قریه بنګش,مسجد قریه بنګش,1,1,2
32.80979797000003,68.47124917000008,1207095,محمد حسن,جامع جومات محمد حسن,2,0,2
32.308755050000066,69.00023064000001,1208130,عموواز,سروکی میلمستون,0,3,3
32.195238280000105,68.36369675000005,1217300,مرکزابتدائیه ښوونځی,د ولسوالي مركز ابتدائيه ښوونځي,2,0,2
33.68071057000008,69.45869145000003,1306038,کلگر,د کلگر مدرسه,3,0,3
33.97793247000008,69.83788608000002,1307077,کوټکی,د کوټکی مسجد,3,1,4
33.312454260000045,69.89792041000007,1401010,شمل مرديخيل,زوړ جومات ( مرديخېل),2,2,4
33.30186096000005,69.76656403000005,1402084,قریه ميټا خان,د ميټا خان ليسه,1,1,2
33.23631508300007,70.01117979300003,1403174,غازی آباد کلی,مستربل غازي آباد جومات,2,2,4
33.48108103000005,70.05113250000007,1407166,کورړو کلى,کورړو جومات,2,1,3
33.62315905000001,70.12090203000004,1413103,مغل خيل,د مغل خيلو جومات,2,1,3
34.93967810000006,70.95419358000004,1507019,کندگل,مسجد قریه,2,1,3
34.70483329000002,70.90350575000011,1509093,ترناب,مکتب ترناب,3,1,4
35.270690070000015,71.53062068000008,1515108,خانانوکڅ,مرکز پولیس,3,1,4
37.085516630000065,70.22768708000005,1702047,قدم,مکتب قدم,2,1,3
36.9829682500001,70.88040212000007,1706104,چبچی یردار,مکتب چبچی یردار,1,1,2
37.41817761,70.67620578,1708122,میدان پایان,لیسه مراغ,1,1,2
36.81804877000007,70.10085181000004,1715150,حوز شهر,مکتب نسوان مشهد,4,2,6
36.635295289999995,71.14496753000005,1716099,کزده,لیسه کزده,1,1,2
37.57843000000002,71.49853000000006,1719214,سر چشمه,لیسه سر چشمه,3,1,4
37.00014319000006,73.26487435000004,1728210,نیشت خور,مکتب متوسطه نیشت خور,1,1,2
36.750821860000116,69.45864119000001,1801020,ابدال,لیسه سید ناصر,3,1,4
36.526630910000165,69.72206533000005,1806081,باغ قاضی,مکتب ابتدائیه باغ قاضی,3,2,5
37.089610000000086,69.47699999999999,1812173,سریغ,لیسه سریغ,2,1,3
36.68202651000007,68.92083377000006,1901036,بولک اول,مکتب متوسطه بولک اول,3,1,4
36.57633979000013,69.03992191000007,1904149,قریه شوراب,مکتب موسی زی,1,1,2
36.48070873300001,67.94616613600002,2002021,قریه قوش بره,مکتب متوسطه قوش بره,2,1,3
35.95861099000002,67.2679920400001,2006050,مرکز ولسوالی,لیسه ذکور دهی,4,2,6
35.80577975000001,67.28558157000006,2007035,قریه زیره کی,مکتب نسوان زیره کی,2,1,3
36.71240890000007,67.08891609000004,2101006,ناحیه دوم مزار شاروالی,لیسه گوهر شاد بیگم,3,3,6
36.70951129000008,67.12680759000003,2101026,گذر قصابها ناحیه ششم مزار شاروالی,لیسه زراعت,2,2,4
36.752193860000034,66.85632417000002,2106166,قریه شنکی,مکتب چار باغ گلشن,2,1,3
36.71893284,67.70464960000001,2110082,تیبه شیخی افغانیه ( لغمانی ),مکتب ناهید شهید,1,2,3
35.94714870000007,66.67716121000004,2115305,قریه بلند اریغ,مکتب نسوان ایلاقیه,2,2,4
35.913481450000134,65.94055242000006,2203061,جرغان,لیسه جرغان,4,2,6
35.77705931000002,66.28953992000007,2205102,قریه دهمرده,مدرسه قریه دهمرده,1,1,2
34.556165740000004,64.96471488000002,2301016,بره خانه,کلینیک بره خانه,4,2,6
34.18169312000003,64.77924563000002,2302238,بازار دولینه.,خیمه در بازار دولینه,1,1,2
31.4584416800001,65.26444048000006,2704192,موشان,د شيرعلي منطقه,4,3,7
30.634607930000048,64.05237458000005,3006120,بنادر,د حاجی علی احمد کور,2,1,3
34.34640806000003,61.73351925000006,3205273,قلعه نو سرمزار,مسجد قلعه نو,2,1,3
34.50472507000012,69.18836426000006,0101012,سر گردنه,مسجد سر گردنه,1,1,2
34.55047465000006,69.14191589000008,0101050,چهار راهي تايمني,ليسه نسوان تاجور سلطانه,3,6,9
34.5247238500001,69.09420320000007,0101089,قسمت ب خوشحال مينه,ليسه ناهيد شهيد,4,4,8
34.46065834000008,69.12801439,0101108,سر آسياب,ليسه نسوان سر آسياب,4,6,10
34.47308684000005,69.16026531000001,0101129,تني کوت,ليسه نسوان غازي ادي,3,6,9
34.49116060000004,69.21367488000006,0101146,قلعچه,ليسه عبدالحي حبيبي,3,4,7
34.539891180000026,69.20279402000006,0101181,مکروريان سوم,لیسه حاجی عبدالقدیر,3,4,7
34.55020827,69.18202951000008,0101197,چهار قلعه,مسجد مصطفوي,3,2,5
34.54684968000005,69.1897829800001,0101217,قلعه خاطر,مسجد جعفري,1,1,2
34.564786110000064,69.14265277000003,0101236,حصه دوم خير خانه,لیسه نسوان سیدالناصری,3,4,7
34.529871982000074,69.33204504999999,0101252,احمد شاه بابا مينه,لیسه قیام الدین خادم,3,4,7
34.5801837400001,69.21478194000005,0101306,قصبه خانه سازي,ليسه عبدالاحمد جاوید,3,4,7
34.489342390000076,68.94885838000008,0102400,ارغنده بالا,مکتب حسن البصري,4,2,6
34.40566585000007,69.12147378,0103421,قلعه لقمان,مکتب ابتدائیه قلعه لقمان,3,2,5
34.46685639000003,69.31059484000005,0104461,قريه کاريز بکر,مسجد احمدزی,1,1,2
34.65916757000014,69.08967865000005,0106393,قلعه دشت,لیسه محمدحسن خان,3,3,6
34.75089672000006,69.11796760000004,0108341,مرکز ولسوالی,مکتب مير بچه کوت,2,2,4
34.739972260000094,69.07041274000004,0111384,ده بالا,مسجد ملک آغا,3,2,5
34.82300042000004,69.17453914000005,0114365,داودزي,لیسه عالی داودزي,2,2,4
34.48551621200008,69.65299967800007,0115516,تورکانی,مکتب تورکانی,1,1,2
35.102082510000045,69.33619663000009,0204028,قر سعیدی,لیسه محمد عمر شهید,3,2,5
34.99778484000011,69.60459899000006,0205053,یاسین زایی,مکتب یاسین زایی,2,1,3
34.99821217900007,69.1622665250001,0301018,پیشان,مسجد جامع پیشان,2,1,3
34.98899114000004,69.30585115000008,0302102,صیاد,لیسه ناصری,3,2,5
35.01639248000006,68.94493679000003,0303073,اشتر شهر,لیسه نعمانیه,3,1,4
35.09988087000005,69.25843549000011,0304049,برج مستوفی,لیسه سیف الرحمن شهید,1,1,2
35.261923391,69.20106977900006,0306069,اونامک سالنگ,مسجد جامع اونامک,1,1,2
34.92934213000004,68.45583912000006,0310123,دهن جرف,لیسه دهن جرف,1,1,2
34.34089229000001,68.85495174000006,0401013,قریه کوه ابراهیم خیل,خیمه کوه ابراهیم خیل,1,3,4
34.46999304000008,68.67113347,0403017,بازار زیارت,لیسه عالی خواجه محمد ولی,2,1,3
33.843382780000056,68.61333912000002,0405117,هفت اسیا,خیمه در قریه هفت اسیا,1,1,2
34.08753708000005,68.75709730000003,0405140,کوه شیخ آباد,خیمه کوه شیخ آباد,2,2,4
